,도로명,위도,경도,"아파트,연립다세대",단독주택,노상,백화점,슈퍼마켓,편의점,상점,"시장,노점","숙박업소,목욕탕",유흥접객업소,사무실,공장,창고,유원지,학교,금융기관,의료기관,종교기관,주차장
57137,남부순환로256라길,37.4720458,126.9733097,,,,,,,,,,,,,,,,,,,
57138,신원로3라길,37.4820644,126.9258159,,,,,,,,,,,,,,,,,,,
57151,미성10길,37.4721012,126.9119681,,,,,,,,,,,,,,,,,,,
57199,청룡4길,37.4809911,126.9454393,,,,,,,,,,,,,,,,,,,
57211,난곡로75길,37.4856861,126.9130135,,,,,,,,,,,,,,,,,,,
57225,청룡11길,37.4774293,126.9461586,,,,,,,,,,,,,,,,,,,
57231,청룡15길,37.4767826,126.9462561,,,,,,,,,,,,,,,,,,,
57262,양지10길,37.4706053,126.9273631,,,,,,,,,,,,,,,,,,,
57265,원신5길,37.4683346,126.9315163,,,,,,,,,,,,,,,,,,,
57276,보라매로2길,37.4898721,126.9292715,,,,,,,,,,,,,,,,,,,
57278,인헌15길,37.4709283,126.9680129,,,,,,,,,,,,,,,,,,,
57283,난곡로65길,37.482286,126.9133056,,,,,,,,,,,,,,,,,,,
57284,인헌17길,37.4707609,126.9688044,,,,,,,,,,,,,,,,,,,
57293,행운1가길,37.4811129,126.9577646,,,,,,,,,,,,,,,,,,,
57295,난곡로26라길,37.4681396,126.92405,,,,,,,,,,,,,,,,,,,
57296,봉천로25길,37.4857337,126.9378416,,,,,,,,,,,,,,,,,,,
57298,난곡로66길,37.4826322,126.9151979,,,,,,,,,,,,,,,,,,,
57328,관악로24가길,37.4845392,126.9568312,,,,,,,,,,,,,,,,,,,
57333,양지9길,37.4700438,126.9295987,,,,,,,,,,,,,,,,,,,
57341,복은8길,37.4742692,126.9403465,,,,,,,,,,,,,,,,,,,
57344,청림길,37.488036,126.9596111,,,,,,,,,,,,,,,,,,,
57353,관천로21길,37.4881796,126.9209329,,,,,,,,,,,,,,,,,,,
57356,난우10가길,37.476491,126.9197349,,,,,,,,,,,,,,,,,,,
57360,법원단지28길,37.4748721,126.9244526,,,,,,,,,,,,,,,,,,,
57363,봉천로7길,37.4906747,126.9261496,,,,,,,,,,,,,,,,,,,
57366,대학4길,37.4696886,126.9366507,,,,,,,,,,,,,,,,,,,
57370,관악로11나길,37.4776852,126.9484777,,,,,,,,,,,,,,,,,,,
57374,법원단지5라길,37.4773946,126.9218391,,,,,,,,,,,,,,,,,,,
57380,조원로8길,37.4826802,126.9060872,,,,,,,,,,,,,,,,,,,
57386,난곡로35길,37.4707566,126.9173666,,,,,,,,,,,,,,,,,,,
57409,관악로40길,37.4922356,126.9583777,,,,,,,,,,,,,,,,,,,
57413,문성로28가길,37.4785571,126.926431,,,,,,,,,,,,,,,,,,,
57415,신림로31가길,37.4762481,126.9358313,,,,,,,,,,,,,,,,,,,
57418,양지15길,37.4687934,126.930061,,,,,,,,,,,,,,,,,,,
57421,남부순환로246다길,37.4745546,126.9647249,,,,,,,,,,,,,,,,,,,
57422,은천로21길,37.4884807,126.9483827,,,,,,,,,,,,,,,,,,,
57425,남현8길,37.4736155,126.9753154,,,,,,,,,,,,,,,,,,,
57427,은천로9길,37.4875024,126.9406591,,,,,,,,,,,,,,,,,,,
57428,인헌13길,37.4721139,126.9687376,,,,,,,,,,,,,,,,,,,
57435,미성8길,37.4739818,126.9128255,,,,,,,,,,,,,,,,,,,
57437,신림동2길,37.4879109,126.9278153,,,,,,,,,,,,,,,,,,,
57476,관악로25길,37.4846306,126.9547992,,,,,,,,,,,,,,,,,,,
57478,남부순환로209길,37.4825354,126.9445461,,,,,,,,,,,,,,,,,,,
57479,관악로37길,37.4871415,126.9564462,,,,,,,,,,,,,,,,,,,
57492,난곡로64가길,37.4784832,126.915749,,,,,,,,,,,,,,,,,,,
57496,난우길,37.475377,126.9177646,,,,,,,,,,,,,,,,,,,
57508,법원단지5다길,37.478072,126.92076,,,,,,,,,,,,,,,,,,,
57513,난곡로50길,37.477395,126.9160956,,,,,,,,,,,,,,,,,,,
57532,원신7길,37.4666764,126.9297043,,,,,,,,,,,,,,,,,,,
57536,미성3길,37.4736335,126.9159331,,,,,,,,,,,,,,,,,,,
57539,봉천로29길,37.4854642,126.9409312,,,,,,,,,,,,,,,,,,,
57541,국회단지16길,37.4894528,126.9430779,,,,,,,,,,,,,,,,,,,
57552,보라매로7길,37.4942208,126.9267693,,,,,,,,,,,,,,,,,,,
57564,관천로27길,37.488901,126.9192601,,,,,,,,,,,,,,,,,,,
57565,낙성대역14길,37.4732833,126.9632979,,,,,,,,,,,,,,,,,,,
57569,난향7길,37.4609447,126.9153426,,,,,,,,,,,,,,,,,,,
57575,난곡로46길,37.4766436,126.9164473,,,,,,,,,,,,,,,,,,,
57577,양녕로2길,37.4836394,126.9477422,,,,,,,,,,,,,,,,,,,
57600,은천로32길,37.4850889,126.9530128,,,,,,,,,,,,,,,,,,,
57607,봉천로23마길,37.4883885,126.9356494,,,,,,,,,,,,,,,,,,,
57612,신림로15길,37.4678959,126.9370369,,,,,,,,,,,,,,,,,,,
57616,솔밭로,37.4778078,126.9628493,,,,,,,,,,,,,,,,,,,
57618,쑥고개로1나길,37.4781303,126.937926,,,,,,,,,,,,,,,,,,,
57620,국회단지13길,37.4891792,126.9405385,,,,,,,,,,,,,,,,,,,
57627,인헌12다길,37.4704062,126.9659467,,,,,,,,,,,,,,,,,,,
57630,보라매로5길,37.4915334,126.9246884,,,,,,,,,,,,,,,,,,,
57635,남부순환로163나길,37.4844026,126.9221963,,,,,,,,,,,,,,,,,,,
57636,난곡로48길,37.4768503,126.9165054,,,,,,,,,,,,,,,,,,,
57640,남부순환로191길,37.4857385,126.9342196,,,,,,,,,,,,,,,,,,,
57652,난향3길,37.4620471,126.9166239,,,,,,,,,,,,,,,,,,,
57668,원신1길,37.4695164,126.9323296,,,,,,,,,,,,,,,,,,,
57681,남부순환로143나길,37.4831358,126.9115423,,,,,,,,,,,,,,,,,,,
57693,문성로30길,37.4785669,126.9284624,,,,,,,,,,,,,,,,,,,
57698,난곡로64길,37.4818254,126.9177517,,,,,,,,,,,,,,,,,,,
57699,봉천로23길,37.4877249,126.9356288,,,,,,,,,,,,,,,,,,,
57701,봉천로30길,37.4837,126.9397866,,,,,,,,,,,,,,,,,,,
57702,조원로12길,37.4815926,126.9064158,,,,,,,,,,,,,,,,,,,
57703,쑥고개로2길,37.4762349,126.9388544,,,,,,,,,,,,,,,,,,,
57725,인헌3나길,37.4739365,126.968061,,,,,,,,,,,,,,,,,,,
57737,양지13길,37.4685067,126.9301464,,,,,,,,,,,,,,,,,,,
57745,봉천로27길,37.484907,126.9391699,,,,,,,,,,,,,,,,,,,
57748,인헌4길,37.4745016,126.9663562,,,,,,,,,,,,,,,,,,,
57751,조원로22길,37.4843601,126.9132729,,,,,,,,,,,,,,,,,,,
57766,원신10길,37.4599222,126.92994,,,,,,,,,,,,,,,,,,,
57775,신원로3마길,37.4820942,126.9253106,,,,,,,,,,,,,,,,,,,
57776,은천로26길,37.4860549,126.950572,,,,,,,,,,,,,,,,,,,
57778,관악로16길,37.4800426,126.9539894,,,,,,,,,,,,,,,,,,,
57780,신사로22길,37.4886058,126.9180219,,,,,,,,,,,,,,,,,,,
57782,청림1길,37.4890538,126.9584179,,,,,,,,,,,,,,,,,,,
57813,양녕로5길,37.4850572,126.9454486,,,,,,,,,,,,,,,,,,,
57815,신사로20길,37.4885525,126.9176355,,,,,,,,,,,,,,,,,,,
57821,남부순환로191가길,37.4854654,126.9350508,,,,,,,,,,,,,,,,,,,
