,road,latitude_road,longitude_road,murder,robber,rape,theft,violence,crime_counts,camera,latitude_camera,longitude_camera,total_p,total_m,total_f,interval,lamp
125,신원로2길,37.4803395,126.92833629999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
126,시흥대로158길,37.4803015,126.9012751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
127,신림동5길,37.4861049,126.9274631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
128,신림동9길,37.4863255,126.9247676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
129,서원3길,37.4769096,126.9337485,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.47661508,126.93329969999999,,,,,
130,서원5길,37.4765157,126.9336373,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.47632048,126.9346501,,,,,
131,난곡로58길,37.4797922,126.9154191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
132,서원4길,37.4774557,126.932017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
133,봉천로2길,37.4894263,126.9224074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
134,청룡16길,37.4769433,126.9432264,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,
135,봉천로53길,37.4819372,126.9545215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
136,남부순환로216길,37.4806028,126.9492787,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.48018588,126.9492618,,,,,
137,중앙1가길,37.4831203,126.9529582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
138,양녕로6라길,37.48396029999999,126.9507984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
139,양산3길,37.47408,126.9310861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
140,남부순환로186길,37.4838469,126.93324009999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
141,신림동3길,37.4868299,126.9277741,0.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,,,,,
142,신원로3다길,37.4814894,126.9259251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
143,대학21길,37.465676,126.9384502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
144,조원로16길,37.4830835,126.9111306,0.0,0.0,1.0,2.0,2.0,5.0,0.0,0.0,0.0,,,,,
145,관악로11가길,37.4776889,126.9487919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
146,남부순환로237길,37.4801426,126.9610439,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,
147,법원단지12길,37.4733328,126.92133590000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
148,신림로43길,37.47694420000001,126.9338047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
149,서림1길,37.4755155,126.9402865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
150,구암5길,37.4903469,126.9470523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
151,남부순환로251길,37.4758216,126.96905929999998,0.0,0.0,0.0,0.0,0.0,0.0,3.0,37.47646946,126.96963059999999,,,,,
152,난곡로35가길,37.4726482,126.9184554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
153,관악로13길,37.4793974,126.9509931,0.0,0.0,2.0,4.0,1.0,7.0,0.0,0.0,0.0,,,,,
154,문성로16가길,37.4757785,126.91439009999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
155,대학20길,37.4651169,126.9376616,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,,,,,
156,남부순환로181길,37.4857016,126.9305457,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,,,,,
157,국회단지8길,37.4882675,126.9418928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
158,인헌12가길,37.4710505,126.9669496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
159,신림로12길,37.47136029999999,126.9386969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
160,국회단지18길,37.4896099,126.9430274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
161,호암로26길,37.4705804,126.935806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
162,관악로5길,37.4755796,126.9522372,0.0,0.0,1.0,4.0,4.0,9.0,0.0,0.0,0.0,,,,,
163,난곡로12길,37.4658899,126.92032720000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
164,승방3나길,37.4725479,126.9800408,0.0,0.0,0.0,0.0,0.0,0.0,2.0,37.47298710000001,126.98021969999999,,,,,
165,은천로38길,37.4854025,126.95483020000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
166,신림로21길,37.46843270000001,126.9348503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
167,관악로14길,37.4791486,126.9540513,0.0,0.0,0.0,0.0,0.0,0.0,4.0,37.47841637,126.9543908,42.0,41.0,44.0,,
168,국회단지6길,37.4879099,126.94188359999998,0.0,0.0,0.0,0.0,0.0,0.0,3.0,37.4881223,126.9406328,,,,,
169,양지7길,37.47040120000001,126.9304604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
170,복은7길,37.4752634,126.94128390000002,0.0,0.0,0.0,0.0,0.0,0.0,4.0,37.47474846,126.9402412,,,,,
171,대학16길,37.4656011,126.93723590000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
172,중앙2길,37.4845454,126.9539091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
173,조원로11길,37.484033200000006,126.906606,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,,,,,
174,조원로2길,37.4817424,126.9015934,0.0,0.0,1.0,2.0,3.0,6.0,5.0,37.48229224,126.9020237,,,,,
175,남부순환로233길,37.4804773,126.958739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
